epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6971,0.6937,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
2,0.6949,0.6974,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
3,0.696,0.6944,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
4,0.6951,0.6947,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
5,0.6974,0.6967,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
6,0.6984,0.6943,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
7,0.6952,0.6952,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
8,0.6963,0.6933,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
9,0.6961,0.695,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
10,0.6958,0.6938,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
11,0.6958,0.7072,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
12,0.6962,0.7034,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
13,0.697,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
14,0.6965,0.6955,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
15,0.697,0.6934,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
16,0.6948,0.6934,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
17,0.6951,0.7006,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
18,0.6958,0.6935,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
19,0.6946,0.6933,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
20,0.6977,0.6935,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
21,0.6951,0.7,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
22,0.695,0.7035,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
23,0.6954,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
24,0.6964,0.6935,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
25,0.698,0.6937,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
26,0.6975,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
27,0.6953,0.6942,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
28,0.696,0.694,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
29,0.6958,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
30,0.698,0.6964,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
31,0.696,0.7048,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
32,0.6953,0.7023,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
33,0.6978,0.6931,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
34,0.6951,0.6936,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
35,0.6945,0.6957,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
36,0.6952,0.7054,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
37,0.6957,0.6933,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
38,0.6957,0.6932,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
39,0.695,0.6952,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
40,0.6946,0.6953,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
41,0.6958,0.6944,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
42,0.6966,0.6934,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
43,0.6956,0.6934,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
44,0.6949,0.6933,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
45,0.6953,0.6938,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
46,0.6947,0.6935,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
47,0.6967,0.6932,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
48,0.6942,0.6972,0.49370490875654266,0.3305,SmallMLP-Sigmoid-SGD-0.1-0
49,0.6944,0.7052,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
50,0.6969,0.6944,0.5062950912434574,0.3361,SmallMLP-Sigmoid-SGD-0.1-0
